City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sao Joao Da Barra,BR,70.14,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
4,Melilla,ES,75.58,broken clouds,35.2937,-2.9383,Hotel Anfora
6,Laguna,US,81.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
13,Avarua,CK,73.45,scattered clouds,-21.2078,-159.775,Paradise Inn
14,Trinidad,BO,79.63,overcast clouds,-14.8333,-64.9,Hotel Piesta
18,Gurupi,BR,74.17,clear sky,-11.7292,-49.0686,Via Norte Hotel
20,Bang Saphan,TH,81.52,light rain,11.2126,99.5117,Ladawan Boutique Hotel
23,Atuona,PF,77.49,few clouds,-9.8,-139.0333,Villa Enata
27,Sabha,LY,74.84,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
29,Vila Franca Do Campo,PT,70.2,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
31,Verkhnevilyuysk,RU,75.45,overcast clouds,63.4453,120.3167,Gostinitsa Mila
32,Meulaboh,ID,85.39,scattered clouds,4.1363,96.1285,Kost Pria
44,Aswan,EG,85.37,scattered clouds,24.0934,32.907,Nuba Nile
47,Hithadhoo,MV,83.41,light rain,-0.6,73.0833,Scoop Guest House
48,Lorengau,PG,84.2,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
50,San Miguelito,PA,78.55,broken clouds,9.0333,-79.5,Sheraton Grand Panama
58,Vaini,TO,77.14,clear sky,-21.2,-175.2,Keleti Beach Resort
62,Mahebourg,MU,74.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
65,Bethel,US,70.48,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
66,Tura,IN,89.91,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
67,Somerset,US,74.23,scattered clouds,40.5668,-74.5496,Hilton Garden Inn Bridgewater
75,Neryungri,RU,79.23,overcast clouds,56.6709,124.6491,Pyat' Zvozd
76,Alofi,NU,78.08,scattered clouds,-19.0595,-169.9187,Taloa Heights
77,Buenaventura,CO,75.15,moderate rain,3.8801,-77.0312,Hotel Victoria
78,Dingle,PH,86.54,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
80,Bengkulu,ID,82.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
82,Yangjiang,CN,88.47,overcast clouds,21.85,111.9667,HUALUXE Yangjiang City Center
83,Mecca,SA,89.65,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
84,Kapaa,US,77.11,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,The Valley,AI,82.81,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
89,Sabang,ID,82.85,overcast clouds,5.8933,95.3214,Hotel Citra
90,Ixtapa,MX,79.23,overcast clouds,20.7,-105.2,hotel la terminal
91,Arraial Do Cabo,BR,70.7,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
94,Sinnamary,GF,75.69,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
95,Cockburn Town,TC,81.28,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
98,Nkan,GA,71.87,broken clouds,0.3833,9.7833,Hôtel Santa Barbara
102,Saint-Philippe,RE,71.19,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
104,Palembang,ID,84.29,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
107,Butaritari,KI,80.38,moderate rain,3.0707,172.7902,Isles Sunset Lodge
110,Coahuayana,MX,77.83,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
112,Kieta,PG,82.24,light rain,-6.2167,155.6333,Uruna Bay Retreat
115,Baturaja,ID,86.22,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
117,San Felipe,VE,72.1,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
121,Karatau,KZ,88.16,clear sky,43.1667,70.4667,Baza Zika
124,Shache,CN,85.35,broken clouds,38.4167,77.2406,Delong Hotel
125,Sungaipenuh,ID,80.17,broken clouds,-2.0833,101.3833,Penginapan Citra Alam
127,Kapoeta,SS,75.33,overcast clouds,4.7717,33.5903,Eastgate Hotel
131,Bacolod,PH,84.69,light rain,10.6667,122.95,Planta Hotel & Residences
132,Bambous Virieux,MU,74.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
133,Palimbang,PH,82.81,broken clouds,6.2106,124.1894,Felmar Beach resort
134,Biak,ID,76.59,overcast clouds,-0.9131,122.8766,Penginapan Kim
136,Faanui,PF,77.25,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
140,Kawalu,ID,78.82,overcast clouds,-7.3817,108.2082,West Jontor
143,Wahpeton,US,73.42,clear sky,46.2652,-96.6059,Select Inn Breckenridge
144,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
146,Puerto Escondido,MX,79.88,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
147,Harper,LR,74.01,light rain,4.375,-7.7169,Screensaver
148,Ust-Nera,RU,80.73,broken clouds,64.5667,143.2,Hotel Ust-Nera
150,Cravo Norte,CO,75.7,broken clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
151,Umm Lajj,SA,84.47,clear sky,25.0213,37.2685,Moon light Furnished Units
153,Pachino,IT,77.43,clear sky,36.7186,15.0907,Il Veliero
155,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
156,Houma,US,77.0,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
159,Portland,US,73.89,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
161,Anton,PA,80.85,few clouds,8.4,-80.2667,Las Catalinas
163,Padang,ID,87.85,broken clouds,-0.9492,100.3543,Mercure Padang
164,Santarem,BR,73.53,clear sky,-2.4431,-54.7083,Hotel Imperador
165,Ginda,IN,80.62,few clouds,30.6945,78.4932,Sunil Bisht
171,Manoel Urbano,BR,74.59,broken clouds,-8.8389,-69.2597,Baixada Beira Rio
173,Brewster,US,70.36,clear sky,41.3973,-73.6171,Heidi's Inn
174,Isangel,VU,71.85,broken clouds,-19.55,169.2667,Tanna Lodge
175,Cherskiy,RU,70.03,overcast clouds,68.75,161.3,Gostinitsa
