City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Klaksvik,FO,62.2266,-6.589,50.92,88,99,13.82,overcast clouds
1,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.14,86,62,19.01,broken clouds
2,Vila Velha,BR,-20.3297,-40.2925,66.94,94,70,8.12,broken clouds
3,Upernavik,GL,72.7868,-56.1549,46.22,65,9,2.37,clear sky
4,Melilla,ES,35.2937,-2.9383,75.58,88,75,2.3,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,24.91,86,40,13.8,scattered clouds
6,Laguna,US,38.421,-121.4238,81.34,45,0,7.43,clear sky
7,Ponta Do Sol,PT,32.6667,-17.1,68.72,81,9,2.01,clear sky
8,Lebu,CL,-37.6167,-73.65,43.09,85,19,3.2,few clouds
9,Chokurdakh,RU,70.6333,147.9167,53.38,58,98,10.18,overcast clouds
10,Tasiilaq,GL,65.6145,-37.6368,41.27,78,100,5.14,overcast clouds
11,Chernyshevskiy,RU,63.0128,112.4714,56.5,99,100,8.9,heavy intensity rain
12,Bredasdorp,ZA,-34.5322,20.0403,50.25,85,64,4.97,broken clouds
13,Avarua,CK,-21.2078,-159.775,73.45,73,40,10.36,scattered clouds
14,Trinidad,BO,-14.8333,-64.9,79.63,63,100,4.56,overcast clouds
15,Raymond,US,43.9015,-70.4703,63.41,84,21,2.51,few clouds
16,Ahvaz,IR,31.3203,48.6693,94.95,49,0,4.61,clear sky
17,Castro,BR,-24.7911,-50.0119,64.08,54,100,8.08,overcast clouds
18,Gurupi,BR,-11.7292,-49.0686,74.17,41,4,5.64,clear sky
19,Airai,TL,-8.9266,125.4092,70.11,52,99,3.58,overcast clouds
20,Bang Saphan,TH,11.2126,99.5117,81.52,80,100,8.23,light rain
21,Jamestown,US,42.097,-79.2353,63.01,75,100,2.82,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,69.08,81,100,11.12,light rain
23,Atuona,PF,-9.8,-139.0333,77.49,73,11,12.86,few clouds
24,Esperance,AU,-33.8667,121.9,60.13,66,100,14.2,overcast clouds
25,Aranos,NA,-24.1333,19.1167,48.88,35,0,11.74,clear sky
26,East London,ZA,-33.0153,27.9116,50.94,87,0,5.75,clear sky
27,Sabha,LY,27.0377,14.4283,74.84,31,0,10.38,clear sky
28,Nadvoitsy,RU,63.8667,34.3167,56.84,87,100,5.23,overcast clouds
29,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,93,43,9.22,scattered clouds
30,Norman Wells,CA,65.282,-126.8329,56.71,66,100,8.21,overcast clouds
31,Verkhnevilyuysk,RU,63.4453,120.3167,75.45,71,100,10.71,overcast clouds
32,Meulaboh,ID,4.1363,96.1285,85.39,65,44,3.8,scattered clouds
33,Fortuna,US,40.5982,-124.1573,60.66,89,100,5.06,overcast clouds
34,Pevek,RU,69.7008,170.3133,39.61,67,64,3.62,broken clouds
35,Albany,US,42.6001,-73.9662,64.78,76,84,2.26,broken clouds
36,Morales,CO,2.757,-76.6172,60.22,97,98,1.68,overcast clouds
37,Yellowknife,CA,62.456,-114.3525,59.61,59,71,7.99,broken clouds
38,Cape Town,ZA,-33.9258,18.4232,60.12,79,0,4.61,clear sky
39,Yershichi,RU,53.6725,32.7542,56.16,88,8,7.09,clear sky
40,Acatic,MX,20.7833,-102.8833,65.75,92,97,2.26,overcast clouds
41,Ushuaia,AR,-54.8,-68.3,35.26,55,20,14.97,few clouds
42,Bara,NG,10.3744,10.7288,72.48,87,97,4.12,overcast clouds
43,Comodoro Rivadavia,AR,-45.8667,-67.5,36.73,70,40,6.71,scattered clouds
44,Aswan,EG,24.0934,32.907,85.37,26,47,13.04,scattered clouds
45,Mandalgovi,MN,45.7625,106.2708,69.37,43,0,15.26,clear sky
46,Ilulissat,GL,69.2167,-51.1,39.22,93,100,2.3,fog
47,Hithadhoo,MV,-0.6,73.0833,83.41,75,55,12.08,light rain
48,Lorengau,PG,-2.0226,147.2712,84.2,69,43,10.42,scattered clouds
49,Iguape,BR,-24.7081,-47.5553,66.65,73,81,4.07,broken clouds
50,San Miguelito,PA,9.0333,-79.5,78.55,86,75,1.14,broken clouds
51,Kargasok,RU,59.0556,80.8572,69.67,47,20,5.19,few clouds
52,Qaanaaq,GL,77.484,-69.3632,50.86,59,73,7.7,broken clouds
53,Potters Bar,GB,51.6935,-0.1784,59.45,84,69,1.99,broken clouds
54,Thinadhoo,MV,0.5333,72.9333,83.46,75,24,12.62,few clouds
55,San Cristobal,VE,7.7669,-72.225,64.0,97,36,2.3,scattered clouds
56,Thompson,CA,55.7435,-97.8558,68.85,50,99,4.76,overcast clouds
57,Chuy,UY,-33.6971,-53.4616,56.23,98,98,6.15,overcast clouds
58,Vaini,TO,-21.2,-175.2,77.14,76,6,9.91,clear sky
59,Eureka,US,40.8021,-124.1637,61.66,85,28,3.0,scattered clouds
60,Bluff,NZ,-46.6,168.3333,47.8,72,86,21.23,overcast clouds
61,Araouane,ML,18.9048,-3.5265,89.87,21,5,9.19,clear sky
62,Mahebourg,MU,-20.4081,57.7,74.25,69,75,15.95,broken clouds
63,Khatanga,RU,71.9667,102.5,66.31,38,78,3.78,broken clouds
64,Port Alfred,ZA,-33.5906,26.891,58.62,68,92,8.66,overcast clouds
65,Bethel,US,41.3712,-73.414,70.48,84,50,0.96,scattered clouds
66,Tura,IN,25.5198,90.2201,89.91,61,5,2.15,clear sky
67,Somerset,US,40.5668,-74.5496,74.23,89,33,1.01,scattered clouds
68,Warrington,GB,53.3925,-2.5802,57.79,89,45,1.74,scattered clouds
69,Nikolskoye,RU,59.7035,30.7861,58.91,67,60,8.41,broken clouds
70,Victoria,HK,22.2855,114.1577,91.45,77,97,11.99,overcast clouds
71,Clyde River,CA,70.4692,-68.5914,48.16,52,94,8.25,overcast clouds
72,Busselton,AU,-33.65,115.3333,59.4,70,100,4.81,overcast clouds
73,Hay River,CA,60.8156,-115.7999,51.22,91,84,7.72,light rain
74,Port Augusta,AU,-32.5,137.7667,67.98,28,19,20.07,few clouds
75,Neryungri,RU,56.6709,124.6491,79.23,53,94,6.24,overcast clouds
76,Alofi,NU,-19.0595,-169.9187,78.08,66,44,21.27,scattered clouds
77,Buenaventura,CO,3.8801,-77.0312,75.15,95,99,2.42,moderate rain
78,Dingle,PH,10.9995,122.6711,86.54,71,93,4.09,overcast clouds
79,Kafue,ZM,-15.7691,28.1814,53.01,74,7,6.98,clear sky
80,Bengkulu,ID,-3.8004,102.2655,82.02,76,100,3.8,overcast clouds
81,Ystad,SE,55.4297,13.8204,56.14,87,100,14.5,light rain
82,Yangjiang,CN,21.85,111.9667,88.47,72,97,12.86,overcast clouds
83,Mecca,SA,21.4267,39.8261,89.65,35,82,8.3,broken clouds
84,Kapaa,US,22.0752,-159.319,77.11,83,85,4.0,overcast clouds
85,The Valley,AI,18.217,-63.0578,82.81,80,5,23.13,clear sky
86,Mar Del Plata,AR,-38.0023,-57.5575,50.88,94,100,13.8,overcast clouds
87,Hobart,AU,-42.8794,147.3294,56.26,65,75,11.5,broken clouds
88,Saint George,US,37.1041,-113.5841,95.95,27,32,3.0,scattered clouds
89,Sabang,ID,5.8933,95.3214,82.85,77,90,19.62,overcast clouds
90,Ixtapa,MX,20.7,-105.2,79.23,87,100,1.01,overcast clouds
91,Arraial Do Cabo,BR,-22.9661,-42.0278,70.7,86,61,25.7,broken clouds
92,Avera,US,33.194,-82.5271,73.54,84,58,7.67,broken clouds
93,Kruisfontein,ZA,-34.0033,24.7314,53.85,66,100,7.45,overcast clouds
94,Sinnamary,GF,5.3833,-52.95,75.69,91,90,6.2,overcast clouds
95,Cockburn Town,TC,21.4612,-71.1419,81.28,84,93,23.11,overcast clouds
96,Tuktoyaktuk,CA,69.4541,-133.0374,43.23,69,17,9.26,few clouds
97,Severo-Kurilsk,RU,50.6789,156.125,56.1,92,82,3.53,broken clouds
98,Nkan,GA,0.3833,9.7833,71.87,87,82,4.14,broken clouds
99,Dunedin,NZ,-45.8742,170.5036,46.8,48,25,1.99,scattered clouds
100,Smederevska Palanka,RS,44.3655,20.9589,66.29,32,18,5.82,few clouds
101,Ramnagar,IN,29.4,79.1167,98.22,35,8,6.08,clear sky
102,Saint-Philippe,RE,-21.3585,55.7679,71.19,88,62,11.12,light rain
103,Malanje,AO,-9.5402,16.341,57.52,44,0,3.27,clear sky
104,Palembang,ID,-2.9167,104.7458,84.29,65,40,8.05,light rain
