City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mar Del Plata,AR,2022-07-11 07:32:11,-38.0023,-57.5575,51.1,81,0,11.99
1,Qaanaaq,GL,2022-07-11 07:33:33,77.484,-69.3632,39.87,94,100,1.92
2,Busselton,AU,2022-07-11 07:33:34,-33.65,115.3333,59.49,66,70,5.14
3,Tuatapere,NZ,2022-07-11 07:33:34,-46.1333,167.6833,35.06,86,45,4.43
4,Aykhal,RU,2022-07-11 07:33:34,66.0,111.5,57.07,87,100,4.54
5,North Bend,US,2022-07-11 07:30:03,43.4065,-124.2243,59.92,96,0,4.61
6,Bredasdorp,ZA,2022-07-11 07:33:35,-34.5322,20.0403,54.23,78,100,6.49
7,Puerto Ayora,EC,2022-07-11 07:33:35,-0.7393,-90.3518,67.55,99,97,5.99
8,East London,ZA,2022-07-11 07:33:35,-33.0153,27.9116,59.94,67,0,10.36
9,Cape Town,ZA,2022-07-11 07:28:49,-33.9258,18.4232,55.89,81,75,16.11
10,Nikolskoye,RU,2022-07-11 07:33:36,59.7035,30.7861,72.88,60,100,5.41
11,Hithadhoo,MV,2022-07-11 07:33:36,-0.6,73.0833,82.81,71,100,4.74
12,Cherskiy,RU,2022-07-11 07:33:37,68.75,161.3,67.17,37,91,8.41
13,Vaini,TO,2022-07-11 07:33:37,-21.2,-175.2,75.36,83,75,11.5
14,Coxim,BR,2022-07-11 07:31:19,-18.5067,-54.76,67.12,47,10,4.14
15,Rikitea,PF,2022-07-11 07:33:38,-23.1203,-134.9692,73.92,77,4,6.6
16,Bayeux,BR,2022-07-11 07:33:38,-7.125,-34.9322,70.43,100,0,9.22
17,Port Alfred,ZA,2022-07-11 07:33:38,-33.5906,26.891,58.17,74,9,5.99
18,Luganville,VU,2022-07-11 07:32:44,-15.5333,167.1667,78.69,82,35,6.11
19,Cockburn Town,TC,2022-07-11 07:33:39,21.4612,-71.1419,81.05,81,100,19.64
20,Punta Arenas,CL,2022-07-11 07:33:39,-53.15,-70.9167,15.91,86,0,4.61
21,Honiara,SB,2022-07-11 07:33:39,-9.4333,159.95,78.51,86,23,3.53
22,Viedma,AR,2022-07-11 07:33:40,-40.8135,-62.9967,44.53,69,100,14.32
23,Grand Gaube,MU,2022-07-11 07:33:40,-20.0064,57.6608,76.37,68,1,11.99
24,Victoria,HK,2022-07-11 07:32:00,22.2855,114.1577,91.45,66,68,8.99
25,Kaitangata,NZ,2022-07-11 07:33:41,-46.2817,169.8464,41.02,81,31,11.25
26,Hobart,AU,2022-07-11 07:29:09,-42.8794,147.3294,53.46,69,75,9.22
27,Ushuaia,AR,2022-07-11 07:31:47,-54.8,-68.3,24.46,80,0,4.61
28,Yellowknife,CA,2022-07-11 07:30:04,62.456,-114.3525,61.32,100,40,4.61
29,Avarua,CK,2022-07-11 07:33:42,-21.2078,-159.775,73.45,68,75,4.61
30,Mataura,NZ,2022-07-11 07:33:42,-46.1927,168.8643,37.47,91,41,4.7
31,Barrow,US,2022-07-11 07:33:42,71.2906,-156.7887,48.22,87,0,10.36
32,Santa Vitoria Do Palmar,BR,2022-07-11 07:30:03,-33.5189,-53.3681,61.27,99,100,7.78
33,Flinders,AU,2022-07-11 07:33:43,-34.5833,150.8552,56.17,80,100,1.99
34,Qasigiannguit,GL,2022-07-11 07:33:43,68.8193,-51.1922,39.45,92,98,2.59
35,Vila Velha,BR,2022-07-11 07:33:43,-20.3297,-40.2925,64.94,97,40,0.0
36,Castro,BR,2022-07-11 07:33:44,-24.7911,-50.0119,53.6,75,3,5.32
37,Butaritari,KI,2022-07-11 07:33:44,3.0707,172.7902,82.6,78,100,16.04
38,Hilo,US,2022-07-11 07:33:44,19.7297,-155.09,75.27,81,20,4.0
39,Firovo,RU,2022-07-11 07:33:45,57.4814,33.7021,65.39,90,100,6.06
40,Labuhan,ID,2022-07-11 07:33:45,-6.8844,112.2051,87.55,57,99,7.76
41,Hermanus,ZA,2022-07-11 07:33:45,-34.4187,19.2345,56.8,74,9,18.9
42,Bazaliya,UA,2022-07-11 07:33:46,49.7127,26.4733,57.96,75,98,8.5
43,Provideniya,RU,2022-07-11 07:34:46,64.3833,-173.3,55.45,72,76,5.48
44,Havoysund,NO,2022-07-11 07:34:46,70.9963,24.6622,53.83,76,0,6.26
45,Vestmannaeyjar,IS,2022-07-11 07:34:47,63.4427,-20.2734,51.15,93,100,15.14
